Index,Taxon,Name_in_tree,Clade,Subclade,Subclade_2,Max_age,Min_age,FL,FC,FML,FAP,TL_TLE,TC,HL,HC,HML,HAP,RC,RL_RLE,MtL,Source,Age/notes,Juvenile,Bonebed,Institution,Specimen,FCoval,HCoval,FCe,FCe_meserr,FCe_method,HCe,HCe_meserr,HCe_method,Mass,Mass_lse (log10)
153,Melanorosaurus_readi,Melanorosaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_3,Norian,Rhaetian,638,,101,,,,450,,,,,,225,"van Heerden 1979; SAM 3449 (no femur, although a possibly associated femur is catalogued under SAM 3450)(holotype humerus HL=495, HSml=66, HSap=58); Galton et al. 2005; NM QR3314 (juvenile), skull described by Yates 2007; Van Heerden & Galton (1997), Galton et al. 2005: NM QR1551 (used)",,0,0,NM,NM QR1551,,,272.32,0.0208,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,,,,,
154,Mendozasaurus_neguyelap,Mendozasaurus,Sauropodomorpha,Titanosauria,Titanosauria,Late_Coniacian,Early_Santonian,,,,,990,,1060,,145,,,720,,"Gonzalez Riga et al. 2003; IANIGLA-PV 065/1-24, caudal vertebrae, and other bones including humerus (IANIGLA-PV 069) and femur (IANIGLA-PV 073)",,0,0,"IANIGLA-PV, Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, Colección Paleovertebrados, Mendoza, Argentina",IANIGLA-PV 065/1-24,,,,,,401.49,0.0324,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,,
155,Mongolosaurus_haplodon,not,Sauropodomorpha,Titanosauria,Titanosauria,Aptian,Albian,,,,,,,,,,,,,,"Mannion 2011; AMNH 6710, basicranium, cervical vertebrae 1-3 and five teeth",,0,0,"AMNH, American Museum of Natural History, New York, USA",AMNH 6710,,,,,,,,,,
156,Mussaurus_patagonicus,not,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Norian,Norian,,,,,,,,,,,,,,(Bonaparte & Vince 1979; PVL 4068); Pol & Powell 2007,juvenile (extreme),1,0,"PVL, Fundación-Instituto Miguel Lillo, Universidad Nacional de Tucumán, Tucumán, Argentina",,,,,,,,,,,
157,Muyelensaurus_pecheni,Muyelensaurus,Sauropodomorpha,Titanosauria,Titanosauria,Late_Coniacian,Early_Santonian,,,,,,,,,,,,,,"Calvo et al. 2007c,d; MUCPv-323, vertebrae and pelvis","bonebed; measurements are from adults, presumably specimens of similar sizes",0,1,"MRS, Museo de Rincón de los Sauces, Neuquén, Argentina","humerus (MRS-Pv 70, 132, 212, 352, 357, 387), femora (MRS-Pv 89,
91, 352, 356, 358, 389, 429)",,,,,,,,,,
158,Narambuenatitan_palomoi,not,Sauropodomorpha,Titanosauria,Titanosauria,Early_Campanian,Early_Campanian,,,,,,,920,,120,,,,,Filippi et al. 2011a; MAU?Pv?N?425,,0,0,"MAU-Pv, Paleontología de Vertebrados, Museo Municipal “Argentino Urquiza”, Rincón de los Sauces, Neuquén, Argentina",MAU?Pv?N?425,,,,,,338.35,0.0324,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,,
159,Nemegtosaurus_mongoliensis,Nemegtosaurus,Sauropodomorpha,Titanosauria,Titanosauria,Late_Campanian,Early_Maastrichtian,,,,,,,,,,,,,,"Wilson 2005; Z. PAL MgD-I/9, skull only",,0,0,"Z.PAL, Institute of Paleobiology of the Polish Academy of Sciences, Warsaw, Poland", ZPAL MgD-I/9,,,,,,,,,,
160,Neuquensaurus_australis,Neuquensaurus,Sauropodomorpha,Titanosauria,Titanosauria,Early_Campanian,Early_Campanian,810,,167,88,,,,,103,78,,,,"MLP?CS 1019 (DE); Otero 2010; humerus (MLP?CS 1019) and femur (MCS?9); although these represent different individuals, almost all the Neuquensaurus hypodigm femora/humeri represent similar-sized individuals, for example, DE measured a femur with length 695 and circumference 328; PDM measured a femur with length length=750; ml width=123; ap length=76; min circum=323 (MLP CS 1118)",bonebeds,0,1,"MLP, Museo de La Plata, La Plata, Argentina",humerus (MLP?CS 1019) and femur (MCS?9),410.22,285.67,441.6,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,300.04,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,6118.106857,0.195921803
161,Nigersaurus_taqueti,Nigersaurus,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Aptian,Albian,1000,,,,,,,,,,,,,Sereno et al. 1999,,0,0,"MNN, Musée National du Niger, Niamey, Republic of Niger",MNN GAD512,,,413.27,0.0534,FC_for_quadrupedal_dinosaurs_using_FL_and_equation_.16.,,,,,
162,Nopcsaspondylus_alarconensis,not,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Early_Cenomanian,Early_Cenomanian,,,,,,,,,,,,,,Apesteguia 2007; partial dorsal vertebra (lost),,0,0,,,,,,,,,,,,
163,Ohmdenosaurus_liassicus,not,Sauropodomorpha,Sauropoda,Sauropoda,Middle_Toarcian,Middle_Toarcian,,,,,405,,,,,,,,,"Wild 1978; Hauff Museum specimen, tibia, astragalus, calcaneum and ?sesamoid",,0,0,Hauff Museum,,,,,,,,,,,
164,Omeisaurus_maoianus,Omeisaurus_maoanus,Sauropodomorpha,Eusauropoda,Eusauropoda,Bajocian,Callovian,1120,470,185,,660,,785,340,125,85,,510,257,Tang et al. 2001 (circumferences measured from figures),,0,0,,,,332.87,470,0,measured,340,0,measured,7796.374697,0.151487894
165,Omeisaurus_jiaoi,Omeisaurus_jiaoi,Sauropodomorpha,Eusauropoda,Eusauropoda,Bajocian,Callovian,1400,,,,900,,1160,,135,,,840,,Jiang et al. 2011; ZDM 5050,,0,0,"ZDM, Zigong Dinosaur Museum, Zigong, China",ZDM 5050,,,578.96,0.0535,FC_for_quadrupedal_dinosaurs_using_FL_and_equation_.16.,376.37,0.0324,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,12272.42108,0.258877161
166,Omeisaurus_tianfuensis,Omeisaurus_tianfuensis,Sauropodomorpha,Eusauropoda,Eusauropoda,Bajocian,Callovian,1310,,206,,820,,1080,,183,,,755,229,He et al. 1988; T5701 (largest individual); further measurements in Chinese,,0,0,,,,,540.32,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,495.54,0.0326,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,15330.68243,0.204768675
167,Omeisaurus_junghsiensis,Omeisaurus_junghsiensis,Sauropodomorpha,Eusauropoda,Eusauropoda,Bajocian,Callovian,,460,,,,,,390,143,,,,,Young 1939 (measured from figures),,0,0,,,,,460,0,measured,390,0,measured,8901.151286,0.153874953
168,Opisthocoelicaudia_skarzynskii,Opisthocoelicaudia,Sauropodomorpha,Titanosauria,Titanosauria,Late_Campanian,Early_Maastrichtian,1395,680,280,108,810,,1000,565,220,,,630,200,Borsuk-Bialynicka 1977; Anderson et al. 1985,,0,0,,,639.79,,680,0,measured,565,0,measured,25418.09215,0.153908816
169,Duriatitan_humerocristatus,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Late_Kimmeridgian,Late_Kimmeridgian,,,,,,,1372,533,198,,,,,Hulke 1874,,0,0,"BMNH, Natural History Museum, London, United Kingdom",BMNH 44635,,,649.69,0.0368,FC_for_quadrupedal_sauropodomorphs_using_HC_and_equation_.20.,533,0,measured,22071.81277,0.232456447
170,Sauroposeidon_proteles,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Late_Aptian,Late_Aptian,1442,509,204,,887,331,,451,162,114,253,789,195,Rose 2007; FWMSH 93B specimens; originalls Paluxysaurus jonesi,"bonebed; juveniles of Sauroposeidon (D'Emic, in press)",1,1,"FWMSH, Fort Worth Museum of Science and History, Fort Worth, USA","four humeri (FWMSH 93B-10-2, FWMSH 93B-10-7, TMM 42488), six femora (FWMSH 93B-10-3, FWMSH 93B-10-7, FWMSH 93B-10-25, FWMSH 93B-10-27, TMM 42488)",,436.82,509,0,measured,451,0,measured,12438.06296,0.152204668
171,Pampadromaeus_barberenai,Pampadromaeus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Early_Carnian,Middle_Carnian,,48,,,,,,,,,,,,"Cabreira et al 2011; femoral circumference provided by S. Cabreira, pers. comm. 13 April 2012",,0,0,"ULBRA (Museu de Ciências Naturais, Universidade Luterana do Brasil, Canoas)",ULBRA-PVT016,,,48,0,measured,,,,8.543738799,0.135
172,Panamericansaurus_schroederi,not,Sauropodomorpha,Titanosauria,Titanosauria,Late_Campanian,Early_Maastrichtian,,,,,,,1230,418,125,,,,,Calvo & Porfiri 2010; MUCPv-417,,0,0,"MUCPv, Museo de Geología y Paleontología de la Universidad Nacional del Comahue, Neuquén, Argentina",MUCPv-417,,,507.83,0.0368,FC_for_quadrupedal_sauropodomorphs_using_HC_and_equation_.20.,418,0,measured,11258.45761,0.228843224
173,Panphagia_protos,not,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Carnian,Carnian,,,,,157,,,,,,,,77.3,Martinez & Alcober 2009; PVSJ 874,"immature individual that has open neurocranial, neurocentral and scapulocoracoid sutures",1,0,"PVSJ, Instituto y Museo de Ciencias Naturales, Universidad Nacional de San Juan, Argentina",PVSJ 874,,,55.12,0.0993,FC_for_bipedal_dinosaurs_using_TL_and_equations_.12...14.,,,,12.49661869,0.298876697
174,Pantydraco_caducus,Pantydraco,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Rhaetian,Rhaetian,79,,6.8,6.55,,,,,,,,,,Yates 2003; Galton & Kermack 2010; BMNHP24 (including a humerus); USED: BMNH P77/1 (femur),juvenile,1,0,"BMNH, Natural History Museum, London, United Kingdom", BMNHP24 (including a humerus); BMNH P77/1 (including a femur),20.97,,22.89,0.0252,FC_for_all_dinosaurs_using_FCoval_and_equation_.4.,,,,1.115545555,0.162510876
175,Paralititan_stromeri,Paralititan,Sauropodomorpha,Titanosauria,Titanosauria,Early_Cenomanian,Early_Cenomanian,,,,,,,1690,720,,,,,,Lammana unpublished PhD thesis,,0,0,CGN,CGN 81119,,,881.23,0.0375,FC_for_quadrupedal_sauropodomorphs_using_HC_and_equation_.20.,720,0,measured,50768.91483,0.231939477
176,Patagosaurus_fariasi,Patagosaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Aalenian,Bajocian,1270,675,,,,,,,,,,,,"PVL 4170 (MTC' PDM) (used), which lacks a humerus; a small humerus has HL=627, HC=261; a larger one (PVL 4075) has HL=1050 but HC=? (MTC); Coria 1994",there are considerably larger individuals,1,0,"PVL, Fundación-Instituto Miguel Lillo, Universidad Nacional de Tucumán, Tucumán, Argentina",PVL 4170,,,675,0,measured,551.36,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,24385.47896,0.227326895
177,Pellegrinisaurus_powelli,Pelligrinisaurus,Sauropodomorpha,Titanosauria,Titanosauria,Early_Campanian,Early_Campanian,,,230,,,,,,,,,,,"MCPA 1500 (R. Barnes, pers. comm, 6 Dec 2011); Salgado 1996; MCPA 1500, vertebrae and partial femur",,0,0,MCPA,MCPA 1500,,,600.7,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,,,,,
178,Pelorosaurus_conybeari,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Late_Valanginian,Late_Valanginian,,,,,,,1372,,156,,,,,Mantell 1850; Owen 1859,,0,0,"BMNH, Natural History Museum, London, United Kingdom",BMNH 28626,,,,,,428.94,0.0325,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,,
179,Petrobrasaurus_puestohernandezi,not,Sauropodomorpha,Titanosauria,Titanosauria,Late_Coniacian,Early_Santonian,1575,,235,,,,1200,,155,,,,,Filippi et al. 2011b,,0,0,"MAU-Pv, Paleontología de Vertebrados, Museo Municipal “Argentino Urquiza”, Rincón de los Sauces, Neuquén, Argentina",MAU-Pv-PH-449,,,613.25,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,426.45,0.0325,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,15487.43697,0.205807352
180,Phuwiangosaurus_sirindhornae,Phuwiangosaurus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Barremian,Aptian,1250,,220,,,,1020,,120,,,,,Martin et al. 1999; Klein et al. 2009; PW 1 (holotype and largest definitely referrable specimen); shaft flattened anteroposteriorly so did not use femoral anteroposterior diameter,,0,0,PW,PW 1,,,575.57,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,338.35,0.0324,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,10864.74221,0.204833546
181,Pitekunsaurus_macayai,not,Sauropodomorpha,Titanosauria,Titanosauria,Early_Campanian,Early_Campanian,,,175,,,,,,,,,,,Filippi & Garrido 2008; femur MAU-Pv-AG-446/1,,0,0,"MAU-Pv, Paleontología de Vertebrados, Museo Municipal “Argentino Urquiza”, Rincón de los Sauces, Neuquén, Argentina",MAU-Pv-AG-446,,,461.92,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,,,,,
182,Plateosauravus_cullingworthi,Plateosauravus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Norian,Rhaetian,600,,97,,,,455,,63,53,,,,Haughton 1924; SAM 3342 (largest humerus); SAM 3602 (largest femur; shaft width measured from figure),,0,1,"SAM, South African Iziko Museum, Capetown, South Africa",SAM 3342 (largest humerus); SAM 3602 (largest femur),,182.55,302.9,0.0378,FC_for_bipedal_dinosaurs_using_FML_and_equation_.6.,,,,1352.830177,0.183038638
183,Plateosaurus_engelhardti,Plateosaurus_engelhardti,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Rhaetian,Rhaetian,685,263,79,65,550,205,382,156,54,40,86,233,,"HMN Skelett 45 (MTC); Moser 2004; largest BSP femur (BSP 1962 I 153, PQ XL B), larger, but possibly not associated, femur and humerus on display at Tubingen (Klein, PhD thesis, 2004); MTC data also contains many measurements",bonebeds (but used data from a single individual),0,1,"IFG, Tubingen","IFG,display specimen (composite) has large bones",226.73,148.47,263,0,measured,156,0,measured,917.4699623,0.135
184,Pleurocoelus_nanus,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Early_Aptian,Early_Aptian,394,,60,,,,363,,54.5,,,,,Lull 1911; USNM 2263,"juvenile, bonebed, nomen dubium",1,1,"USNM, United Stated National Museum, Washington DC, USA",USNM 2263,,,165.07,0.0222,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,165.74,0.0327,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,664.7746143,0.200062225
185,Pleurocoelus_altus,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Early_Aptian,Early_Aptian,,,,,635,,,,,,,,,"Lull 1911; USNM 4971 (holotype, tibia/fibula)",nomen dubium,1,1,"USNM, United Stated National Museum, Washington DC, USA",,,,,,,,,,,
186,Pradhania_gracilis,not,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Sinemurian,Sinemurian,,,,,,,,,,,,,,"Kutty et al. 2007; ISI R265, vertebrae, partial manus and skull bones",,0,0,"ISI, Indian Statistical Institute",ISI R265,,,,,,,,,,
187,Puertasaurus_reuili,not,Sauropodomorpha,Titanosauria,Titanosauria,Middle_Cenomanian,Turonian,,,,,,,,,,,,,,Novas et al. 2005b; cervical and dorsal vertebrae,,0,0,"MPM, Museo Padre Molina, Rio Gallegos, Santa Cruz",MPM 10002,,,,,,,,,,
188,Qiaowanlong_kangxii,Qiaowanlong,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Aptian,Albian,,,,,,,,,,,,,,You & Li 2009; cervical vertebrae and pelvis,,0,0,"FRDC, Fossil Research and Development Center, Gansu, China",FRDC GJ 07-14,,,,,,,,,,
189,Qingxiusaurus_youjiangensis,not,Sauropodomorpha,Titanosauria,Titanosauria,Late_Cretaceous,Late_Cretaceous,,,,,,,900,,155,100,,,,"Mo et al. 2008; NHMG 8499, humerus, sternal plates, neural spines",,0,0,"NHMG, Natural History Museum of Guangxi, China",NHMG 8499,,405.23,514.77,0.042553848,FC_for_quadrupedal_sauropodomorphs_using_HCe,426.91,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,11796.33141,0.21697697
190,Quaesitosaurus_orientalis,not,Sauropodomorpha,Titanosauria,Titanosauria,Late_Campanian,Late_Campanian,,,,,,,,,,,,,,"Kurzanov 1983; PIN 3906/2, skull",,0,0,"PIN, Paleontological Institute, Russian Academy of Sciences, Moscow, Russia",PIN 3906/2,,,,,,,,,,
191,Rapetosaurus_krausei,not,Sauropodomorpha,Titanosauria,Titanosauria,Maastrichtian,Maastrichtian,687,245,91,63,500,177,524,215,86,48,,365,186,FMNH PR 2209 (MTC); Curry Rogers 2009; FMNH PR 2209 (juvenile and only know postcranial skeleton),juvenile,1,0,"FMNH, Field Museum of Natural History, Chicago, USA",FMNH PR 2209,243.91,214.74,245,0,measured,215,0,measured,1645.569576,0.151160213
192,Rayososaurus_agrioensis,not,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Early_Cenomanian,Early_Cenomanian,1250,474,178,121,,,,,,,,,,"MACN-N 41(PDM); Bonaparte 1996; MACN-N 41, partial scapula, fibula and femur",,0,0,"MACN, Museo Argentino de Ciencias Naturales, Buenos Aires, Argentina",MACN-N 41,473.94,,474,0,measured,391.45,0.0351,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,9353.067538,0.223545671
193,Rebbachisaurus_garasbae,Rebbachisaurus,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Albian,Cenomanian,,,,,,,,,153,125,,,,Lavocat 1954; postcranial skeleton,,0,0,"MNHN, Musee Nationale d'Histoire Naturelle, Paris, France",MNHN specimens,,437.79,554.99,0.042516543,FC_for_quadrupedal_sauropodomorphs_using_HCe,461.52,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,14556.14565,0.219143468
194,Rhoetosaurus_brownei,Rhoetosaurus,Sauropodomorpha,Sauropoda,Sauropoda,Late_Bathonian,Middle_Callovian,,696,,,,,,,,,,,288,"Longman 1925, 1927, QM uncat. Circumference from J. Nair pers. comm. 12 May 2012",,0,0,"QM, Queensland Museum, Brisbane, Australia",,,,696,0,measured,567.97,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,26497.12219,0.227366926
195,Rinconsaurus_caudamirus,Rinconsaurus,Sauropodomorpha,Titanosauria,Titanosauria,Coniacian,Coniacian,990,340,,,,,790,300,,,,,,"Calvo & Gonzalez-Riga 2003; MRS-Pv 26 and paratypes including MRS-Pv 47 (humerus), 49, 92 (femora); femur and humerus measurements from 1-2 adult individuals of comparable size",bonebed,0,1,"MRS, Laboratory of Rincón de los Sauces Museum","MRS-Pv 47 (humerus), 49, 92 (femora)",,,340,0,measured,300,0,measured,4079.678928,0.150706654
196,Riojasaurus_incertus,Riojasaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Norian,Norian,608,285,106,66,520,236,482,229,89,57,,280,225,"PVL 3808 (MTC, largest individual); Bonaparte 1969; PVL 3808 (holotype)",,0,0,"PVL, Fundación-Instituto Miguel Lillo, Universidad Nacional de Tucumán, Tucumán, Argentina",PVL 3808,273.84,232.1,285,0,measured,229,0,measured,2232.784406,0.153453915
197,Rocasaurus_muniozi,Rocasaurus,Sauropodomorpha,Titanosauria,Titanosauria,Late_Campanian,Early_Maastrichtian,812,,141,70,,,,,,,,,,MPCA-Pv 46 (PDM); Salgado & Azpilicueta 2000; MPCA-Pv 46,unfused neurocentral sutures suggest immature,1,0,"MPCA, Museo Provincial Carlos Ameghino, Cipolletti, Río Negro, Argentina",MPCA-Pv 46,340.89,,375.3,0.0202,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,295.99,0.035104726,HC_for_quadrupedal_sauropodomorphs_using_FCe,4651.782757,0.216799889
198,Ruehleia_bedheimensis,Ruehleia,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Rhaetian,Rhaetian,752,285,,,,,475,183,53,59,,,,MB RVL 1 individual (PDM: MBR 4718.99 [femur] and 4718.39 [humerus]); Galton 2001,,0,0,"MB, Museum für Naturkunde, Berlin, Germany","MB RvL 1, 2, 3",,176.06,285,0,measured,183,0,measured,1144.227296,0.135
199,Ruyangosaurus_giganteus,Ruyangosaurus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Cenomanian,Turonian,,905,330,,1270,,,,,,,,,"41HIII-0002 (RBJB); Lu et al. 2009; 41HIII-0002, cervical vertebra, dorsal vertebra, ribs, proximal half of femur, tibia",,0,0,"HGM, Henan Geological Museum, Zhengzhou, China","HGM, 41HIII-0002",,,905,0,measured,732.53,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,53996.27096,0.232506525
200,Saltasaurus_loricatus,Saltasaurus,Sauropodomorpha,Titanosauria,Titanosauria,Late_Campanian,Maastrichtian,875,385,,,,,550,341,131,67,,,,"PVL 4017/80 (MTC, largest femur), PVL 4017-63 (MTC, largest humerus) seem to be from individuals of comparable size based on large sample; Powell 1992; large humeri (PVL 4017 62/63, PVL 4017 64/65 and PVL 4017 66/67), femora (PVL 4017 79/80/82/83 and CNS V 10.024)",bonebed,0,1,"PVL, Fundación-Instituto Miguel Lillo, Universidad Nacional de Tucumán, Tucumán, Argentina",,,319.2,385,0,measured,341,0,measured,5769.89811,0.150390497
201,Saltasaurus_loricatus,not,Sauropodomorpha,Titanosauria,Titanosauria,Late_Campanian,Maastrichtian,750,363,140,68,,,,,,,,,,PVL 4017/83 (MTC) ,,0,0,"PVL, Fundación-Instituto Miguel Lillo, Universidad Nacional de Tucumán, Tucumán, Argentina",,336.59,,363,0,measured,302.28,0.0351,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,4538.177483,0.218765481
202,Sarahsaurus_aurifontanalis,Sarahsaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Sinemurian,Pliensbachian,340,,43,,,,190,,28,20,,,,"Rowe et al. 2010; TMM 43646-2, measured from figures",,0,0,"TMM, Texas Memorial Museum, Austin, Texas, USA",TMM 43646-2,,75.92,139.88,0.0375,FC_for_bipedal_dinosaurs_using_FML_and_equation_.6.,,,,161.7092653,0.184352217
203,Saturnalia_tupiniquim,Saturnalia,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Early_Carnian,Middle_Carnian,157,52,14.5,15.5,158,,97,,10.5,10,,61,84,"Langer et al. 1999, 2007; Langer 2003; MUCP-PV 3844 (type), measured from figures; femoral circumference M.C.S.K. Malabarba pers. comm. 13 April 2012",,0,0,"MCP, Museu de Ciencas e Technologia, Pontificia Universidade Catolica do Rio Grande do Sul, Poroto Alegre, Brazil",MCP 3844-PV,47.14,32.21,52,0,measured,,,,10.64680346,0.135
204,Sauroposeidon_proteles,Sauroposeidon,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Late_Aptian,Middle_Albian,,,,,,,,,,,,,,"Wedel et al. 2000; OMNH 53062, cervical vertebrae; Ostrom (1970) described Cloverly Formation material at YPM including a humerus (circumference=510) and femur (circumference=520) from multiple localities that may belong to Sauroposeidon (D'Emic 2011, SVP abstract) ",,0,0,"OMNH, Sam Noble Oklahoma Museum of Natural History, Norman, Oklahoma, USA",OMNH 53062,,,,,,,,,,
205,Seitaad_ruessi,Seitaad,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Pliensbachian,Toarcian,,,,,273,,182,,,,,117,80,Sertich & Loewen 2010; UMNH VP 18040,,0,0,"UMNH, University of Utah Museum of Natural History, Salt Lake City, Utah, USA",UMNH VP 18040,,,,,,,,,,
206,Shunosaurus_lii,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Bajocian,Callovian,1200,,165,,720,,720,,114,,,480,175,"Zhang 1988; ZDM  T5402, entered here",,0,0,"ZDM, Zigong Dinosaur Museum, Zigong, China",ZDM  T5402,,,436.51,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,323.02,0.0324,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,6532.466202,0.206375583
207,Shunosaurus_lii,Shunosaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Bajocian,Callovian,1250,,188,,800,,,,,,,,,IVPP V9065 (largest reported individual:FL=1250; Fsml=188; TL=800; IL=840;PL=600); ,,0,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China",IVPP V9065,,,494.85,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,,,,,
208,Sonidosaurus_saihangaobiensis,not,Sauropodomorpha,Titanosauria,Titanosauria,Middle_Campanian,Late_Campanian,,,,,,,,,,,,,,Xu et al. 2006; ischium length = 440 (measured from figure),,0,0,"LH, Long Hao Geologic and Paleontological Research Center",LH V 0010,,,,,,,,,,
209,Sonorasaurus_thompsoni,Sonorasaurus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Albian,Cenomanian,,700,270,150,980,340,,,,,260,890,,ASDM 500; Ratkevich & Scarborough 1998,,0,0,"ASDM, Arizona-Sonora Desert Museum",ASDM 500,673.27,,700,0,measured,571.13,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,26911.83336,0.22586146
210,Spinophorosaurus_nigerensis,Spinophorosaurus,Sauropodomorpha,Sauropoda,Sauropoda,Middle_Jurassic,Middle_Jurassic,1215,,180,100,700,,1121,,150,,,,,"Remes et al. 2009; all measurements from holotype (GCP-CV-4229) except for humerus (paratype, larger individual); shaft diameters from Remes, pers. comm. 17 December 2011",multiple individuals,0,1,"GCP, Museo Paleontológico de Elche, Spain; NMB, Staatliches
Naturhistorisches Museum Braunschweig, Germany","GCP-CV-4229 (HB 62) (femur of holotype), NMB-1698-R (2.38) (humerus of paratype, slightly larger individual)",448.85,,474.6,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,413.99,0.0325,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,10056.79149,0.206017158
211,Supersaurus_vivianae,not,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,,,,,1255,,,,,,,,,"Curtice & Stadtman 2001; Lovelace et al. 2007; most specimens are from Dry Mesa Quarry, Colorado and include a pubis (BYU 12424), a left ulna (BYU 13744), and an ilium (BYU 13018), measurements of figures with scale bars have never been provided; tibia measurement from Lovelace et al. specimen",,0,0,"BYU, Brigham Young University Geologial Museum, Provo, Utah, USA","BYU 12424, 13744, 13018",,,,,,,,,,
212,Suuwassea_emilieae,Suuwassea,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,,,,,,,752,402,143,,,,,Harris 2007; ANS 21122,,0,0,"ANS, Academy of Natural Sciences, Philadelphia",ANS 21122,,,488.13,0.0368,FC_for_quadrupedal_sauropodomorphs_using_HC_and_equation_.20.,402,0,measured,10104.78231,0.228509733
213,Tangvayosaurus_hoffeti,Tangvayosaurus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Aptian,Albian,1620,680,,,,,,,,,,,,"R. Allain pers. comm. 18 June 2012 (femur TV4-1, holotype); Allain et al. 1999",,0,0,"Musée des Dinosaures, Savannakhet, Laos",TV4-1,,,680,0,measured,555.31,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,24877.88803,0.22403442
